ID,GRE,TOEFL,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
250,321,111,3,3.5,4.0,8.83,1,0.77
434,316,111,4,4.0,5.0,8.54,0,0.71
20,303,102,3,3.5,3.0,8.5,0,0.62
323,314,107,2,2.5,4.0,8.27,0,0.72
333,308,106,3,3.5,2.5,8.21,1,0.75
57,316,102,3,2.0,3.0,7.4,0,0.64
302,319,108,2,2.5,3.0,8.76,0,0.66
230,324,111,4,3.0,3.0,9.01,1,0.82
332,311,105,2,3.0,2.0,8.12,1,0.73
133,309,105,5,3.5,3.5,8.56,0,0.71
138,316,100,2,1.5,3.0,8.16,1,0.71
424,334,119,5,4.5,5.0,9.54,1,0.94
336,325,111,4,4.0,4.5,9.11,1,0.83
26,340,120,5,4.5,4.5,9.6,1,0.94
465,298,97,2,2.0,3.0,7.21,0,0.45
282,317,110,3,4.0,4.5,9.11,1,0.8
248,311,104,2,2.5,3.5,8.48,0,0.71
238,329,114,5,4.5,5.0,9.19,1,0.86
118,290,104,4,2.0,2.5,7.46,0,0.45
43,313,107,2,2.5,2.0,8.5,1,0.53
221,313,103,3,4.0,4.0,8.75,0,0.76
177,329,119,4,4.5,4.5,9.16,1,0.9
321,317,106,3,4.0,3.5,8.5,1,0.75
154,324,105,3,3.0,4.0,8.75,0,0.79
232,319,106,3,3.5,2.5,8.33,1,0.74
228,312,110,2,3.5,3.0,8.53,0,0.64
418,316,103,3,3.5,2.0,7.68,0,0.52
204,334,120,5,4.0,5.0,9.87,1,0.97
127,323,113,3,4.0,3.0,9.32,1,0.85
330,297,96,2,2.5,1.5,7.89,0,0.43
32,327,103,3,4.0,4.0,8.3,1,0.74
114,320,110,2,4.0,3.5,8.56,0,0.72
471,320,110,5,4.0,4.0,9.27,1,0.87
272,299,96,2,1.5,2.0,7.86,0,0.54
141,329,110,2,4.0,3.0,9.15,1,0.84
58,298,99,2,4.0,2.0,7.6,0,0.46
193,322,114,5,4.5,4.0,8.94,1,0.86
25,336,119,5,4.0,3.5,9.8,1,0.97
18,319,106,3,4.0,3.0,8.0,1,0.65
266,313,102,3,2.5,2.5,8.68,0,0.71
67,327,114,3,3.0,3.0,9.02,0,0.61
209,305,106,2,3.0,3.0,8.16,0,0.64
480,325,110,4,4.5,4.0,8.96,1,0.79
95,303,99,3,2.0,2.5,7.66,0,0.36
254,335,115,4,4.5,4.5,9.68,1,0.93
267,312,105,2,2.0,2.5,8.45,0,0.72
24,334,119,5,5.0,4.5,9.7,1,0.95
223,324,113,4,4.5,4.0,8.79,0,0.76
