Kelurahan,,
,Jumlah Kepala Keluarga (KK) Menurut Kelurahan di Kota Malang,
,2023,2022
Arjowinangun,3828,3723
Tlogowaru,2354,2270
Wonokoyo,2611,2477
Bumiayu,6593,6380
Buring,5292,5114
Mergosono,6110,6082
Kotalama,9801,9674
Kedungkandang,3927,3829
Sawojajar,8959,8798
Madyopuro,7347,7184
Lesanpuro,6862,6723
Cemorokandang,4772,4642
KECAMATAN KEDUNGKANDANG,68456,66896
Kebonsari,3421,3367
Gadang,6743,6639
Ciptomulyo,4507,4468
Sukun,6440,6383
Bandungrejosari,10366,10177
Bakalan Krajan,3415,3305
Mulyorejo,5568,5431
Bandulan,5760,5669
Tanjungrejo,9645,9530
Pisang Candi,4897,4824
Karang Besuki,6556,6417
KECAMATAN SUKUN,67318,66210
Kasin,4306,4262
Sukoharjo,2965,2932
Kidul Dalem,2080,2050
Kauman,3021,3004
Bareng,5016,4958
Gadingkasri,2773,2787
Oro-Oro Dowo,3570,3543
Klojen,1976,1944
Rampal Celaket,2023,2021
Samaan,3581,3540
Penanggungan,3239,3182
KECAMATAN KLOJEN,34550,34223
Jodipan,4011,3966
Polehan,6237,6177
Kesatrian,3932,3819
Bunulrejo,8832,8761
Purwantoro,9360,9280
Pandanwangi,10871,10644
Blimbing,2911,2892
Purwodadi,6524,6460
Polowijen,4055,3984
Arjosari,3400,3342
Balearjosari,3009,2954
KECAMATAN BLIMBING,63142,62279
Merjosari,5503,5373
Dinoyo,3739,3683
Sumbersari,2701,2673
Ketawanggede,1682,1677
Jatimulyo,6338,6229
Lowokwaru,6469,6420
Tulusrejo,5538,5514
Mojolangu,7378,7301
Tunjungsekar,5647,5564
Tasikmadu,2602,2488
Tunggulwulung,3036,2954
Tlogomas,4743,4652
KECAMATAN LOWOKWARU,55376,54528
KOTA MALANG,288842,284136
