Kelurahan,Max_reviews
Klojen,21451.0
Lowokwaru,8486.0
Jatimulyo,7949.0
Kasin,7925.0
Kiduldalem,7541.0
Kauman,7391.0
Blimbing,6759.0
Sawojajar,6138.0
Bareng,5376.0
Sukun,4413.0
Ketawanggede,2578.0
Kedungkandang,2077.0
Karangbesuki,1808.0
Buring,1631.0
Dinoyo,1131.0
Bumiayu,1128.0
Purwantoro,945.0
Bandungrejosari,769.0597889800704
Kebonsari,769.0597889800704
Arjosari,403.0
Samaan,211.0
Cemorokandang,58.0
Ciptomulyo,43.0
Gadang,10.0
Balearjosari,9.0
Mojolangu,5.0
Rampal Celaket,4.0
Kotalama,2.0
Mulyorejo,1.0
