keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Latitude,Longitude,Category,Kecamatan,Kelurahan,Pasar_Amount,Landmark_Amount,Price_Range_Rp 100–125K,Price_Range_Rp 150–175K,"Price_Range_Rp 1–25,000","Price_Range_Rp 1–50,000","Price_Range_Rp 250,000+",Price_Range_Rp 25–50K,Price_Range_Rp 25–75K,Price_Range_Rp 50–100K,Price_Range_Rp 50–75K,Price_Range_Rp 75–100K,Busiest_time_Monday,Busiest_time_Tuesday,Busiest_time_Wednesday,Busiest_time_Thursday,Busiest_time_Friday,Busiest_time_Saturday,Busiest_time_Sunday,Populations_2023,Competitor,Review_rate,Average_review_points,Average_reviews,Max_reviews,Min_reviews,Success_rate,Success_rate_category_minor,Success_rate_category_major
Toko Makanan Malang,Toko Oen Malang,7391.0,3.9,"Jl. Jenderal Basuki Rahmat No.5, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,https://tokooenmalang.com/,+62 341 364052,-7.980704,112.630332,Toko,Klojen,Kauman,10.0,6.0,False,False,False,False,False,False,False,False,True,False,7PM,7PM,7PM,7PM,7PM,7PM,12PM,9063,2,3724.75,4.43,1342.15,7391.0,2.0,1862.38,1862.38,0.0
Toko Makanan Malang,Oleh Oleh Khas Malang - tokodimas,313.0,4.9,"Blok D-No.169B, Pondok Harapan Indah (POHARIN, Jl. Sigura - Gura, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149, Indonesia",ID,Malang City,East Java,https://lynk.id/tokodimas,+62 812-5256-708,-7.960184,112.6062961,Snack,Sukun,Karangbesuki,6.0,4.0,False,False,True,False,False,False,False,False,False,False,1PM,4PM,1PM,7PM,4PM,8PM,11AM,19668,2,340.15,4.62,502.83,1808.0,45.0,170.08,170.08,0.0
Toko Makanan Malang,Mochi dan Onde Malang by Warung Agrin Takeaway-Sawojajar,1983.0,4.9,"D. Maninjau Sel. Dalam VIII No.D3C13, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,http://www.warungagrin.com/,+62 821-4198-8031,-7.9760612,112.655785,Snack,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,12PM,5PM,6PM,5PM,5PM,2PM,11AM,11781,3,1346.15,4.58,367.15,2077.0,1.0,448.72,448.72,0.0
Kuliner Malang Terbaik,Rawon Nguling Restaurant,7541.0,4.5,"Jl. Zainul Arifin No.62, RT.01/RW.01, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 324684,-7.9838809,112.6339791,Rawon,Klojen,Kiduldalem,4.0,8.0,False,False,False,False,False,True,False,False,False,False,12PM,12PM,12PM,12PM,1PM,12PM,9AM,6240,2,4697.4,4.4,1087.93,7541.0,2.0,2348.7,2348.7,0.0
Toko Makanan Malang,Makku Frozen Food Malang,115.0,4.9,"Jl. Soekarno Hatta No.A7, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia",ID,Malang City,East Java,https://www.tokopedia.com/makkufrozen,+62 819-0890-0124,-7.9395635,112.6317974,Frozen Food,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,19407,3,358.85,4.55,621.97,8486.0,1.0,119.62,119.62,0.0
Kuliner Malang Terbaik,Hok Lay Restaurant,4290.0,4.4,"Jl. KH Ahmad Dahlan No.10, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 364513,-7.9845499,112.6342841,Masakan Cina,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,11AM,7PM,12PM,11AM,6PM,12PM,11AM,5928,6,6089.7,4.53,847.21,21451.0,1.0,1014.95,0.0,1014.95
Warung Makan di Malang,Rawon Rampal,6284.0,4.5,"Jl. Panglima Sudirman No.71A, Klojen, Kec. Blimbing, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 817-2811-827,-7.97421,112.6384068,Rawon,Blimbing,Blimbing,44.0,14.0,False,False,False,False,False,False,False,False,True,False,9AM,11AM,10AM,11AM,10AM,9AM,9AM,8733,5,4723.5,4.52,664.83,6759.0,1.0,944.7,944.7,0.0
Toko Makanan Malang,Ice & Cake Store Mungil,580.0,4.3,"Jl. Jaksa Agung Suprapto No.60A, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 325748,-7.9658477,112.6344685,Snack,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,2PM,3PM,1PM,12PM,6PM,11AM,7PM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Warung Makan di Malang,Ikan Bakar Cianjur,2609.0,4.5,"Jl. Simpang Balapan No.5, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,http://www.ibcgroup.co.id/,+62 341 348666,-7.9652338,112.625472,Seafood,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,1PM,1PM,1PM,7PM,7PM,7PM,1PM,5928,5,6541.45,4.53,847.21,21451.0,1.0,1308.29,1308.29,0.0
Kuliner Malang Terbaik,Ronde Titoni,3873.0,4.5,"2J9M+3V2, Jl. Zainul Arifin No.17, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9823434,112.6347174,Masakan Cina,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,8PM,7PM,7PM,5928,6,6089.7,4.53,847.21,21451.0,1.0,1014.95,0.0,1014.95
