keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Open_Time,Page_URL,Google_id,Place_id,Additional_info,Latitude,Longitude,Category,Main_image,Image_1,Image_2,Image_3,Description,Price_Range,Current_Status,Plus_code_URL,Plus_code,Delivery,Open_Time_Monday,Open_Time_Tuesday,Open_Time_Wednesday,Open_Time_Thursday,Open_Time_Friday,Open_Time_Saturday,Open_Time_Sunday,Popular_times_Monday,Popular_times_Tuesday,Popular_times_Wednesday,Popular_times_Thursday,Popular_times_Friday,Popular_times_Saturday,Popular_times_Sunday
Universitas Malang,Universitas Negeri Malang,4002,4.7,"Jl. Cakrawala No.5, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://www.um.ac.id/,+62 341 551312,"Thursday 7 AM–4 PM  2024-10-17
Friday 7 AM–2:30 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 7 AM–4 PM  2024-10-21
Tuesday 7 AM–4 PM  2024-10-22
Wednesday 7 AM–4 PM  2024-10-23
 ",https://www.google.com/maps/place/Universitas+Negeri+Malang/data=!4m5!3m4!1s0x2e788281bdd08839:0xc915f268bffa831f!8m2!3d-7.9605943!4d112.6176771?authuser=0&hl=en&rclk=1,0x2e788281bdd08839:0xc915f268bffa831f,ChIJOYjQvYGCeC4RH4P6v2jyFck,,-7.9605943,112.6176771,Universitas Negeri,https://lh5.googleusercontent.com/p/AF1QipO2ydkKuKucVuwl0awakhSXi6fZkHKXb7ufoBWT=w408-h543-k-no,https://lh5.googleusercontent.com/p/AF1QipO2ydkKuKucVuwl0awakhSXi6fZkHKXb7ufoBWT=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO6ZjiuAtPDYs6gW-CBtY28KIrjEkBEi3Gvq0FS=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMAYZOQ6FgdPQXqFFlNrZgzaQXvbqkBlu18I-cp=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JQ9+Q3 Sumbersari, Malang City, East Java, Indonesia","2JQ9+Q3 Sumbersari, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 7 AM–4 PM  2024-10-21,Tuesday 7 AM–4 PM  2024-10-22,Wednesday 7 AM–4 PM  2024-10-23,Thursday 7 AM–4 PM  2024-10-17,Friday 7 AM–2:30 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,The Rectorate of Universitas Negeri Malang,443,4.8,"Jl. Semarang No.5, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://www.um.ac.id/,+62 341 551312,"Thursday 8 AM–4 PM  2024-10-17
Friday 8 AM–3 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 8 AM–4 PM  2024-10-21
Tuesday 8 AM–4 PM  2024-10-22
Wednesday 8 AM–4 PM  2024-10-23
 ",https://www.google.com/maps/place/The+Rectorate+of+Universitas+Negeri+Malang/data=!4m5!3m4!1s0x2e788280061d25a5:0x28a01f1aeb7f6803!8m2!3d-7.9625614!4d112.6189172?authuser=0&hl=en&rclk=1,0x2e788280061d25a5:0x28a01f1aeb7f6803,ChIJpSUdBoCCeC4RA2h_6xofoCg,,-7.9625614,112.6189172,Universitas,https://lh5.googleusercontent.com/p/AF1QipORtI5OSwHlPKlLf9_D0FG7f0zb20UKjN2Iiwpd=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipORtI5OSwHlPKlLf9_D0FG7f0zb20UKjN2Iiwpd=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO6GctubUqZQlG_oBeTe_MAjj4YNJuc_d5LcbOF=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPDm40JWDPKDzncVn6iOx-QE8F956YE7RkPlDtf=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JP9+XH Sumbersari, Malang City, East Java, Indonesia","2JP9+XH Sumbersari, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 8 AM–4 PM  2024-10-21,Tuesday 8 AM–4 PM  2024-10-22,Wednesday 8 AM–4 PM  2024-10-23,Thursday 8 AM–4 PM  2024-10-17,Friday 8 AM–3 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,"Universitas Negeri Malang, Kampus II",204,4.6,"Jl. Ki Ageng Gribig No.45, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,http://www.um.ac.id/,+62 341 712192,"Thursday 7 AM–4 PM  2024-10-17
Friday 7 AM–2:30 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 7 AM–4 PM  2024-10-21
Tuesday 7 AM–4 PM  2024-10-22
Wednesday 7 AM–4 PM  2024-10-23
 ","https://www.google.com/maps/place/Universitas+Negeri+Malang,+Kampus+II/data=!4m5!3m4!1s0x2dd6288aad675f09:0xa4a747faf323961a!8m2!3d-7.980073!4d112.668047?authuser=0&hl=en&rclk=1",0x2dd6288aad675f09:0xa4a747faf323961a,ChIJCV9nrYoo1i0RGpYj8_pHp6Q,,-7.980073,112.668047,Universitas Negeri,https://lh5.googleusercontent.com/p/AF1QipO1xr6NbPV5lHvLt_Mm96ooGnCpF_qgzfGE70Zx=w426-h240-k-no,https://lh5.googleusercontent.com/p/AF1QipO1xr6NbPV5lHvLt_Mm96ooGnCpF_qgzfGE70Zx=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/V5Ww0l78sz9Y4D2v7RUl4w=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPBk63EgUjK_KSuSLoTmSLMAZhaYfbGBxyFA70M=w1024-h960-p-k-no,null,None,,"https://plus.codes/2M99+X6 Madyopuro, Malang City, East Java, Indonesia","2M99+X6 Madyopuro, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 7 AM–4 PM  2024-10-21,Tuesday 7 AM–4 PM  2024-10-22,Wednesday 7 AM–4 PM  2024-10-23,Thursday 7 AM–4 PM  2024-10-17,Friday 7 AM–2:30 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,Maulana Malik Ibrahim State Islamic University Malang,2113,4.6,"Jl. Gajayana No.50, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,null,+62 341 551354, ,https://www.google.com/maps/place/Maulana+Malik+Ibrahim+State+Islamic+University+Malang/data=!4m5!3m4!1s0x2e78815e45bbc56d:0x5031ab2d7d36dba6!8m2!3d-7.9510737!4d112.6074091?authuser=0&hl=en&rclk=1,0x2e78815e45bbc56d:0x5031ab2d7d36dba6,ChIJbcW7RV6BeC4Rpts2fS2rMVA,,-7.9510737,112.6074091,Universitas Negeri,https://lh5.googleusercontent.com/p/AF1QipN86C4LdPPNpG0A-Y22PdAkMJAdKndB3QYnNtK9=w408-h544-k-no,https://lh5.googleusercontent.com/p/AF1QipN86C4LdPPNpG0A-Y22PdAkMJAdKndB3QYnNtK9=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOiw_nNOGAgdLgLupFxkreoWiBSEuP82IPVaiZ8=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN71KutGDVuzR0UHIt_4dTpPoH8J2ug_QAXX6Kd=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JX4+HX Dinoyo, Malang City, East Java, Indonesia","2JX4+HX Dinoyo, Malang City, East Java, Indonesia",null,,,,,,,,,,,,,,
Universitas Malang,Islamic University of Malang,1796,4.7,"Jalan Mayjen Haryono No.193, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,null,+62 341 551932,"Thursday 8 AM–5:10 PM  2024-10-17
Friday 8 AM–5:10 PM  2024-10-18
Saturday 8 AM–5:10 PM  2024-10-19
Sunday Closed  2024-10-20
Monday 8 AM–5:10 PM  2024-10-21
Tuesday 8 AM–5:10 PM  2024-10-22
Wednesday 8 AM–5:10 PM  2024-10-23
 ",https://www.google.com/maps/place/Islamic+University+of+Malang/data=!4m5!3m4!1s0x2e788211bc384919:0xdd8bda6f37230a4f!8m2!3d-7.9368428!4d112.6068013?authuser=0&hl=en&rclk=1,0x2e788211bc384919:0xdd8bda6f37230a4f,ChIJGUk4vBGCeC4RTwojN2_ai90,,-7.9368428,112.6068013,Universitas Swasta,https://lh5.googleusercontent.com/p/AF1QipNq7PCOMakuyu99-6MSaYQLQq6bgDs0lJgCXGbF=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNq7PCOMakuyu99-6MSaYQLQq6bgDs0lJgCXGbF=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMvG9-Jf5baRVc_ATNrGvlMAnusOMK95VNpFU64=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOK1LGM59VxD4GS9AMfij8OH4tZrUO8C0t1_-y4=w1024-h960-p-k-no,null,None,,"https://plus.codes/3J74+7P Dinoyo, Malang City, East Java, Indonesia","3J74+7P Dinoyo, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 8 AM–5:10 PM  2024-10-21,Tuesday 8 AM–5:10 PM  2024-10-22,Wednesday 8 AM–5:10 PM  2024-10-23,Thursday 8 AM–5:10 PM  2024-10-17,Friday 8 AM–5:10 PM  2024-10-18,Saturday 8 AM–5:10 PM  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,Universitas Brawijaya,5386,4.7,"Jl. Veteran No.10-11, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://www.ub.ac.id/,+62 341 551611,"Thursday 7:30 AM–4 PM  2024-10-17
Friday 7:30 AM–4 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 7:30 AM–4 PM  2024-10-21
Tuesday 7:30 AM–4 PM  2024-10-22
Wednesday 7:30 AM–4 PM  2024-10-23
 ",https://www.google.com/maps/place/Universitas+Brawijaya/data=!4m5!3m4!1s0x2e78827f2d620975:0xf19b7459bbee5ed5!8m2!3d-7.952465!4d112.613677?authuser=0&hl=en&rclk=1,0x2e78827f2d620975:0xf19b7459bbee5ed5,ChIJdQliLX-CeC4R1V7uu1l0m_E,,-7.952465,112.613677,Universitas Negeri,https://lh5.googleusercontent.com/p/AF1QipOLojaYQiRFiu_8CNNyqWECQ4lZbyQOZ-9z4fXB=w408-h285-k-no,https://lh5.googleusercontent.com/p/AF1QipOLojaYQiRFiu_8CNNyqWECQ4lZbyQOZ-9z4fXB=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMIcgr7IoEOXgmx1h2dgZkERcgI6gyqdDwEWfm7=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipONQGrTPK3cvS3oV5vAHbm8rtLdMWKSVlhqcR16=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JX7+2F Ketawanggede, Malang City, East Java, Indonesia","2JX7+2F Ketawanggede, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 7:30 AM–4 PM  2024-10-21,Tuesday 7:30 AM–4 PM  2024-10-22,Wednesday 7:30 AM–4 PM  2024-10-23,Thursday 7:30 AM–4 PM  2024-10-17,Friday 7:30 AM–4 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,University Merdeka Malang,1167,4.7,"Jalan Terusan Dieng. 62-64 Klojen, Pisang Candi, Sukun, Malang City, East Java 65146, Indonesia",ID,Malang City,East Java,https://unmer.ac.id/,+62 341 568395,"Thursday 8 AM–2:15 PM  2024-10-17
Friday 8 AM–2:15 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 8 AM–2:15 PM  2024-10-21
Tuesday 8 AM–2:15 PM  2024-10-22
Wednesday 8 AM–2:15 PM  2024-10-23
 ",https://www.google.com/maps/place/University+Merdeka+Malang/data=!4m5!3m4!1s0x2dd6282b59adba8f:0xedb4ecc5e4924fbc!8m2!3d-7.9727033!4d112.6093611?authuser=0&hl=en&rclk=1,0x2dd6282b59adba8f:0xedb4ecc5e4924fbc,ChIJj7qtWSso1i0RvE-S5MXstO0,,-7.9727033,112.6093611,Universitas,https://lh5.googleusercontent.com/p/AF1QipNdFkujgnOXeGfFvx7ziT3JHFNYrI8lHlPcwcie=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNdFkujgnOXeGfFvx7ziT3JHFNYrI8lHlPcwcie=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPjWQv7vGkdSCDZ8ZaYG0pKaKWrHbyyRY7wtMwB=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO5jqCKYsRFcVLQFZFLBZv6gmGbS8Gi9eXBwfDl=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JG5+WP Pisang Candi, Malang City, East Java, Indonesia","2JG5+WP Pisang Candi, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 8 AM–2:15 PM  2024-10-21,Tuesday 8 AM–2:15 PM  2024-10-22,Wednesday 8 AM–2:15 PM  2024-10-23,Thursday 8 AM–2:15 PM  2024-10-17,Friday 8 AM–2:15 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,Fakultas Sastra Universitas Negeri Malang,242,4.7,"Jl. Ambarawa No.5 Gedung D14-18, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://sastra.um.ac.id/,+62 341 567475,"Thursday 7 AM–4 PM  2024-10-17
Friday 7 AM–4 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 7 AM–4 PM  2024-10-21
Tuesday 7 AM–4 PM  2024-10-22
Wednesday 7 AM–4 PM  2024-10-23
 ",https://www.google.com/maps/place/Fakultas+Sastra+Universitas+Negeri+Malang/data=!4m5!3m4!1s0x2e78827e3f074219:0x4c713d1f6064128b!8m2!3d-7.961193!4d112.616652?authuser=0&hl=en&rclk=1,0x2e78827e3f074219:0x4c713d1f6064128b,ChIJGUIHP36CeC4RixJkYB89cUw,,-7.961193,112.616652,Universitas,https://lh5.googleusercontent.com/p/AF1QipMoU8c_GMowa25JrU2gd7GUU16ecIfwIanGRa1F=w408-h725-k-no,https://lh5.googleusercontent.com/p/AF1QipMoU8c_GMowa25JrU2gd7GUU16ecIfwIanGRa1F=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMEJgE2RZbV7rn0a0o64N_44IqbAafoFQJj4s0T=w1024-h960-p-k-no,null,null,None,,"https://plus.codes/2JQ8+GM Sumbersari, Malang City, East Java, Indonesia","2JQ8+GM Sumbersari, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,Monday 7 AM–4 PM  2024-10-21,Tuesday 7 AM–4 PM  2024-10-22,Wednesday 7 AM–4 PM  2024-10-23,Thursday 7 AM–4 PM  2024-10-17,Friday 7 AM–4 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
Universitas Malang,Fakultas Ilmu Pendidikan Universitas Negeri Malang,203,4.8,"Universitas Malang, Jl. Semarang No.5, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://fip.um.ac.id/,+62 341 565434, ,https://www.google.com/maps/place/Fakultas+Ilmu+Pendidikan+Universitas+Negeri+Malang/data=!4m5!3m4!1s0x2e78828098bcc057:0xfb97139f2d3d1f95!8m2!3d-7.9625204!4d112.6151851?authuser=0&hl=en&rclk=1,0x2e78828098bcc057:0xfb97139f2d3d1f95,ChIJV8C8mICCeC4RlR89LZ8Tl_s,,-7.9625204,112.6151851,Fakultas,https://lh5.googleusercontent.com/p/AF1QipMYJbMOYoWRvf-cyxwfaFACR42KKu6OjIoZC3Nj=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMYJbMOYoWRvf-cyxwfaFACR42KKu6OjIoZC3Nj=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNH6fCHbpC9EFM79PYt1aRdyC2rtXK_L-q5CHBv=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMbd5c6hI3KZN2MT-IduMaXx1xjkkKmSYhJ7HrQ=w1024-h960-p-k-no,null,None,,"https://plus.codes/2JP8+X3 Sumbersari, Malang City, East Java, Indonesia","2JP8+X3 Sumbersari, Malang City, East Java, Indonesia",Wheelchair accessible parking lot,,,,,,,,,,,,,,
Universitas Malang,PGRI Kanjuruhan University,674,4.5,"Jl. S. Supriadi No.48, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148, Indonesia",ID,Malang City,East Java,https://unikama.ac.id/,+62 341 801488,"Thursday 8 AM–4 PM  2024-10-17
Friday 8 AM–4 PM  2024-10-18
Saturday Closed  2024-10-19
Sunday Closed  2024-10-20
Monday 8 AM–4 PM  2024-10-21
Tuesday 8 AM–4 PM  2024-10-22
Wednesday 8 AM–4 PM  2024-10-23
 ",https://www.google.com/maps/place/PGRI+Kanjuruhan+University/data=!4m5!3m4!1s0x2e789d55fbd71693:0x8dbd37f286b57bff!8m2!3d-8.0068475!4d112.6201209?authuser=0&hl=en&rclk=1,0x2e789d55fbd71693:0x8dbd37f286b57bff,ChIJkxbX-1WdeC4R_3u1hvI3vY0,,-8.0068475,112.6201209,Universitas,https://lh5.googleusercontent.com/p/AF1QipOOO_yr5lSNA_eTg8vE141643pPigiVtg3XEJFB=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipOOO_yr5lSNA_eTg8vE141643pPigiVtg3XEJFB=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN8mMdHcNmS5sspIqndzgHhtk32fAzRv1SMj-Qm=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN9VuWsD9QwNiOxlJUXNDumwAd776GJ4s3aCvix=w1024-h960-p-k-no,null,None,,"https://plus.codes/XJVC+72 Bandungrejosari, Malang City, East Java, Indonesia","XJVC+72 Bandungrejosari, Malang City, East Java, Indonesia",null,Monday 8 AM–4 PM  2024-10-21,Tuesday 8 AM–4 PM  2024-10-22,Wednesday 8 AM–4 PM  2024-10-23,Thursday 8 AM–4 PM  2024-10-17,Friday 8 AM–4 PM  2024-10-18,Saturday Closed  2024-10-19,Sunday Closed  2024-10-20,,,,,,,
